time,dx,lapse,e-fold,Hubble,Average_Phi,Diff_Phi,Average_Pi,Diff_Pi,Rho,Delta,Ham
0.078125,3.125,1.09816,0.0163603,0.194863,0.00799368,3.67688e-08,0.0952104,4.38864e-07,0.00453251,9.21883e-06,-7.18149e-16
0.15625,3.125,1.20045,0.0334085,0.185147,0.0163235,7.49841e-08,0.0904633,4.19205e-07,0.00409181,9.26795e-06,-2.91153e-15
0.234375,3.125,1.30635,0.0510588,0.175598,0.0249475,1.1438e-07,0.0857978,4.01451e-07,0.00368063,9.35806e-06,-7.2701e-15
0.3125,3.125,1.41532,0.0692206,0.166287,0.0338213,1.54719e-07,0.0812482,3.85742e-07,0.00330063,9.49541e-06,-1.44643e-14
0.390625,3.125,1.52681,0.0878014,0.157271,0.0429,1.95799e-07,0.0768431,3.72136e-07,0.00295243,9.68559e-06,-2.53688e-14
0.46875,3.125,1.64026,0.10671,0.148598,0.0521386,2.37468e-07,0.0726055,3.60612e-07,0.00263578,9.93345e-06,-4.09149e-14
0.546875,3.125,1.75514,0.125857,0.140303,0.061494,2.79621e-07,0.0685525,3.51091e-07,0.00234972,1.0243e-05,-6.22886e-14
0.625,3.125,1.87096,0.14516,0.132409,0.0709254,3.222e-07,0.0646955,3.43448e-07,0.00209275,1.06174e-05,-9.0812e-14
0.703125,3.125,1.98724,0.16454,0.12493,0.0803949,3.65195e-07,0.0610412,3.37524e-07,0.00186301,1.10589e-05,-1.2797e-13
0.78125,3.125,2.10357,0.183929,0.117871,0.0898682,4.08632e-07,0.057592,3.33146e-07,0.00165842,1.15692e-05,-1.75458e-13
0.859375,3.125,2.21958,0.203263,0.111229,0.0993148,4.5257e-07,0.0543466,3.30131e-07,0.00147677,1.21491e-05,-2.35147e-13
0.9375,3.125,2.33492,0.222487,0.104995,0.108708,4.97093e-07,0.0513009,3.28297e-07,0.00131589,1.27989e-05,-3.09128e-13
1.01562,3.125,2.44932,0.241554,0.099158,0.118024,5.42304e-07,0.0484488,3.27473e-07,0.00117364,1.35183e-05,-3.9963e-13
1.09375,3.125,2.56254,0.260423,0.0937008,0.127243,5.88316e-07,0.0457824,3.27496e-07,0.00104802,1.43066e-05,-5.09107e-13
1.17188,3.125,2.67437,0.279061,0.0886054,0.13635,6.35248e-07,0.0432928,3.28222e-07,0.000937133,1.51629e-05,-6.40149e-13
1.25,3.125,2.78464,0.297441,0.0838521,0.14533,6.83222e-07,0.0409703,3.29517e-07,0.000839285,1.60857e-05,-7.95537e-13
1.32812,3.125,2.89323,0.315539,0.0794207,0.154173,7.32354e-07,0.0388052,3.31268e-07,0.000752921,1.70734e-05,-9.78198e-13
1.40625,3.125,3.00003,0.333339,0.0752909,0.16287,7.82757e-07,0.0367873,3.33371e-07,0.000676653,1.81243e-05,-1.19117e-12
1.48438,3.125,3.10497,0.350828,0.0714424,0.171416,8.34536e-07,0.0349069,3.35741e-07,0.000609247,1.92364e-05,-1.43766e-12
