#      theta         phi           r
   0.0000000   0.0000000   0.4212793
   0.3141593   0.0000000   0.4228435
   0.6283185   0.0000000   0.4256905
   0.9424778   0.0000000   0.4279521
   1.2566371   0.0000000   0.4289591
   1.5707963   0.0000000   0.4291016
   1.8849556   0.0000000   0.4289591
   2.1991149   0.0000000   0.4279521
   2.5132741   0.0000000   0.4256905
   2.8274334   0.0000000   0.4228434
   3.1415927   0.0000000   0.4212793
   0.0000000   0.6283185   0.4213840
   0.3141593   0.6283185   0.4225123
   0.6283185   0.6283185   0.4245030
   0.9424778   0.6283185   0.4260102
   1.2566371   0.6283185   0.4266826
   1.5707963   0.6283185   0.4267930
   1.8849556   0.6283185   0.4266826
   2.1991149   0.6283185   0.4260102
   2.5132741   0.6283185   0.4245030
   2.8274334   0.6283185   0.4225123
   3.1415927   0.6283185   0.4213839
   0.0000000   1.2566371   0.4213336
   0.3141593   1.2566371   0.4220171
   0.6283185   1.2566371   0.4225751
   0.9424778   1.2566371   0.4219843
   1.2566371   1.2566371   0.4208427
   1.5707963   1.2566371   0.4202298
   1.8849556   1.2566371   0.4208427
   2.1991149   1.2566371   0.4219843
   2.5132741   1.2566371   0.4225751
   2.8274334   1.2566371   0.4220171
   3.1415927   1.2566371   0.4213336
   0.0000000   1.8849556   0.4212779
   0.3141593   1.8849556   0.4220867
   0.6283185   1.8849556   0.4229274
   0.9424778   1.8849556   0.4226426
   1.2566371   1.8849556   0.4217034
   1.5707963   1.8849556   0.4211585
   1.8849556   1.8849556   0.4217034
   2.1991149   1.8849556   0.4226426
   2.5132741   1.8849556   0.4229274
   2.8274334   1.8849556   0.4220867
   3.1415927   1.8849556   0.4212779
   0.0000000   2.5132741   0.4212589
   0.3141593   2.5132741   0.4226037
   0.6283185   2.5132741   0.4250958
   0.9424778   2.5132741   0.4271906
   1.2566371   2.5132741   0.4283680
   1.5707963   2.5132741   0.4286808
   1.8849556   2.5132741   0.4283680
   2.1991149   2.5132741   0.4271906
   2.5132741   2.5132741   0.4250958
   2.8274334   2.5132741   0.4226037
   3.1415927   2.5132741   0.4212589
   0.0000000   3.1415927   0.4211647
   0.3141593   3.1415927   0.4227377
   0.6283185   3.1415927   0.4256075
   0.9424778   3.1415927   0.4278866
   1.2566371   3.1415927   0.4288697
   1.5707963   3.1415927   0.4289643
   1.8849556   3.1415927   0.4288697
   2.1991149   3.1415927   0.4278866
   2.5132741   3.1415927   0.4256075
   2.8274334   3.1415927   0.4227377
   3.1415927   3.1415927   0.4211647
   0.0000000   3.7699112   0.4211495
   0.3141593   3.7699112   0.4222652
   0.6283185   3.7699112   0.4241193
   0.9424778   3.7699112   0.4253525
   1.2566371   3.7699112   0.4257790
   1.5707963   3.7699112   0.4257894
   1.8849556   3.7699112   0.4257790
   2.1991149   3.7699112   0.4253525
   2.5132741   3.7699112   0.4241193
   2.8274334   3.7699112   0.4222652
   3.1415927   3.7699112   0.4211495
   0.0000000   4.3982297   0.4211558
   0.3141593   4.3982297   0.4217714
   0.6283185   4.3982297   0.4222881
   0.9424778   4.3982297   0.4217260
   1.2566371   4.3982297   0.4204586
   1.5707963   4.3982297   0.4197378
   1.8849556   4.3982297   0.4204586
   2.1991149   4.3982297   0.4217260
   2.5132741   4.3982297   0.4222880
   2.8274334   4.3982297   0.4217713
   3.1415927   4.3982297   0.4211558
   0.0000000   5.0265482   0.4212052
   0.3141593   5.0265482   0.4219303
   0.6283185   5.0265482   0.4227605
   0.9424778   5.0265482   0.4226351
   1.2566371   5.0265482   0.4217682
   1.5707963   5.0265482   0.4212087
   1.8849556   5.0265482   0.4217682
   2.1991149   5.0265482   0.4226351
   2.5132741   5.0265482   0.4227605
   2.8274334   5.0265482   0.4219302
   3.1415927   5.0265482   0.4212052
   0.0000000   5.6548668   0.4212844
   0.3141593   5.6548668   0.4225509
   0.6283185   5.6548668   0.4249121
   0.9424778   5.6548668   0.4268906
   1.2566371   5.6548668   0.4279163
   1.5707963   5.6548668   0.4281519
   1.8849556   5.6548668   0.4279163
   2.1991149   5.6548668   0.4268906
   2.5132741   5.6548668   0.4249121
   2.8274334   5.6548668   0.4225509
   3.1415927   5.6548668   0.4212844
